Time,Date,Total
00:00:00,2018-11-21,41
00:15:00,2018-11-21,51
00:30:00,2018-11-21,35
00:45:00,2018-11-21,43
01:00:00,2018-11-21,38
01:15:00,2018-11-21,45
01:30:00,2018-11-21,36
01:45:00,2018-11-21,60
02:00:00,2018-11-21,50
02:15:00,2018-11-21,41
02:30:00,2018-11-21,44
02:45:00,2018-11-21,34
03:00:00,2018-11-21,46
03:15:00,2018-11-21,49
03:30:00,2018-11-21,51
03:45:00,2018-11-21,49
04:00:00,2018-11-21,49
04:15:00,2018-11-21,38
04:30:00,2018-11-21,42
04:45:00,2018-11-21,37
05:00:00,2018-11-21,37
05:15:00,2018-11-21,49
05:30:00,2018-11-21,37
05:45:00,2018-11-21,54
06:00:00,2018-11-21,79
06:15:00,2018-11-21,64
06:30:00,2018-11-21,53
06:45:00,2018-11-21,50
07:00:00,2018-11-21,81
07:15:00,2018-11-21,50
07:30:00,2018-11-21,120
07:45:00,2018-11-21,133
08:00:00,2018-11-21,150
08:15:00,2018-11-21,108
08:30:00,2018-11-21,99
08:45:00,2018-11-21,70
09:00:00,2018-11-21,67
09:15:00,2018-11-21,60
09:30:00,2018-11-21,66
09:45:00,2018-11-21,68
10:00:00,2018-11-21,76
10:15:00,2018-11-21,66
10:30:00,2018-11-21,54
10:45:00,2018-11-21,64
11:00:00,2018-11-21,64
11:15:00,2018-11-21,74
11:30:00,2018-11-21,54
11:45:00,2018-11-21,72
12:00:00,2018-11-21,50
12:15:00,2018-11-21,52
12:30:00,2018-11-21,79
12:45:00,2018-11-21,60
13:00:00,2018-11-21,76
13:15:00,2018-11-21,131
13:30:00,2018-11-21,109
13:45:00,2018-11-21,105
14:00:00,2018-11-21,106
14:15:00,2018-11-21,101
14:30:00,2018-11-21,107
14:45:00,2018-11-21,101
15:00:00,2018-11-21,110
15:15:00,2018-11-21,94
15:30:00,2018-11-21,104
15:45:00,2018-11-21,61
16:00:00,2018-11-21,57
16:15:00,2018-11-21,57
16:30:00,2018-11-21,58
16:45:00,2018-11-21,51
17:00:00,2018-11-21,45
17:15:00,2018-11-21,43
17:30:00,2018-11-21,55
17:45:00,2018-11-21,37
18:00:00,2018-11-21,38
18:15:00,2018-11-21,34
18:30:00,2018-11-21,33
18:45:00,2018-11-21,44
19:00:00,2018-11-21,28
19:15:00,2018-11-21,33
19:30:00,2018-11-21,40
19:45:00,2018-11-21,42
20:00:00,2018-11-21,43
20:15:00,2018-11-21,30
20:30:00,2018-11-21,37
20:45:00,2018-11-21,28
21:00:00,2018-11-21,40
21:15:00,2018-11-21,32
21:30:00,2018-11-21,30
21:45:00,2018-11-21,32
22:00:00,2018-11-21,33
22:15:00,2018-11-21,42
22:30:00,2018-11-21,36
22:45:00,2018-11-21,28
23:00:00,2018-11-21,26
23:15:00,2018-11-21,32
23:30:00,2018-11-21,29
23:45:00,2018-11-21,29
