Time,Date,Total
00:00:00,2018-10-28,2371
00:15:00,2018-10-28,2025
00:30:00,2018-10-28,2237
00:45:00,2018-10-28,1907
01:00:00,2018-10-28,2078
01:15:00,2018-10-28,2026
01:30:00,2018-10-28,1975
01:45:00,2018-10-28,2150
02:00:00,2018-10-28,1922
02:15:00,2018-10-28,2094
02:30:00,2018-10-28,2079
02:45:00,2018-10-28,1845
03:00:00,2018-10-28,2077
03:15:00,2018-10-28,2225
03:30:00,2018-10-28,2289
03:45:00,2018-10-28,1962
04:00:00,2018-10-28,2161
04:15:00,2018-10-28,2270
04:30:00,2018-10-28,2193
04:45:00,2018-10-28,2048
05:00:00,2018-10-28,1975
05:15:00,2018-10-28,2130
05:30:00,2018-10-28,2085
05:45:00,2018-10-28,1935
06:00:00,2018-10-28,2041
06:15:00,2018-10-28,2049
06:30:00,2018-10-28,2168
06:45:00,2018-10-28,2069
07:00:00,2018-10-28,2101
07:15:00,2018-10-28,2262
07:30:00,2018-10-28,2207
07:45:00,2018-10-28,2585
08:00:00,2018-10-28,2939
08:15:00,2018-10-28,3315
08:30:00,2018-10-28,3132
08:45:00,2018-10-28,3053
09:00:00,2018-10-28,2687
09:15:00,2018-10-28,2803
09:30:00,2018-10-28,2670
09:45:00,2018-10-28,2641
10:00:00,2018-10-28,3137
10:15:00,2018-10-28,3048
10:30:00,2018-10-28,2829
10:45:00,2018-10-28,2722
11:00:00,2018-10-28,2794
11:15:00,2018-10-28,2918
11:30:00,2018-10-28,2490
11:45:00,2018-10-28,2754
12:00:00,2018-10-28,3521
12:15:00,2018-10-28,2850
12:30:00,2018-10-28,2970
12:45:00,2018-10-28,2270
13:00:00,2018-10-28,2967
13:15:00,2018-10-28,3177
13:30:00,2018-10-28,3062
13:45:00,2018-10-28,3932
14:00:00,2018-10-28,2937
14:15:00,2018-10-28,3102
14:30:00,2018-10-28,2833
14:45:00,2018-10-28,2733
15:00:00,2018-10-28,2848
15:15:00,2018-10-28,3050
15:30:00,2018-10-28,2416
15:45:00,2018-10-28,2515
16:00:00,2018-10-28,2780
16:15:00,2018-10-28,3073
16:30:00,2018-10-28,2871
16:45:00,2018-10-28,2569
17:00:00,2018-10-28,2378
17:15:00,2018-10-28,3036
17:30:00,2018-10-28,2247
17:45:00,2018-10-28,1823
18:00:00,2018-10-28,2308
18:15:00,2018-10-28,2521
18:30:00,2018-10-28,1929
18:45:00,2018-10-28,1846
19:00:00,2018-10-28,2330
19:15:00,2018-10-28,2134
19:30:00,2018-10-28,1896
19:45:00,2018-10-28,1934
20:00:00,2018-10-28,2449
20:15:00,2018-10-28,2063
20:30:00,2018-10-28,1887
20:45:00,2018-10-28,1811
21:00:00,2018-10-28,2131
21:15:00,2018-10-28,2044
21:30:00,2018-10-28,1761
21:45:00,2018-10-28,2009
22:00:00,2018-10-28,1885
22:15:00,2018-10-28,2089
22:30:00,2018-10-28,1871
22:45:00,2018-10-28,1793
23:00:00,2018-10-28,1926
23:15:00,2018-10-28,2092
23:30:00,2018-10-28,1960
23:45:00,2018-10-28,1890
