Time,Date,Total
00:00:00,2018-12-10,5850
00:15:00,2018-12-10,41
00:30:00,2018-12-10,3172
00:45:00,2018-12-10,28
01:00:00,2018-12-10,3195
01:15:00,2018-12-10,31
01:30:00,2018-12-10,3198
01:45:00,2018-12-10,26
02:00:00,2018-12-10,3192
02:15:00,2018-12-10,26
02:30:00,2018-12-10,3190
02:45:00,2018-12-10,27
03:00:00,2018-12-10,3190
03:15:00,2018-12-10,26
03:30:00,2018-12-10,3192
03:45:00,2018-12-10,26
04:00:00,2018-12-10,3208
04:15:00,2018-12-10,27
04:30:00,2018-12-10,3195
04:45:00,2018-12-10,29
05:00:00,2018-12-10,3181
05:15:00,2018-12-10,26
05:30:00,2018-12-10,3190
05:45:00,2018-12-10,47
06:00:00,2018-12-10,3184
06:15:00,2018-12-10,28
06:30:00,2018-12-10,3191
06:45:00,2018-12-10,26
07:00:00,2018-12-10,3172
07:15:00,2018-12-10,26
07:30:00,2018-12-10,3198
07:45:00,2018-12-10,62
08:00:00,2018-12-10,3462
08:15:00,2018-12-10,43
08:30:00,2018-12-10,3695
08:45:00,2018-12-10,160
09:00:00,2018-12-10,3297
09:15:00,2018-12-10,62
09:30:00,2018-12-10,3309
09:45:00,2018-12-10,2988
10:00:00,2018-12-10,17989
10:15:00,2018-12-10,75
10:30:00,2018-12-10,3300
10:45:00,2018-12-10,58
11:00:00,2018-12-10,3284
11:15:00,2018-12-10,43
11:30:00,2018-12-10,3304
11:45:00,2018-12-10,49
12:00:00,2018-12-10,4708
12:15:00,2018-12-10,49
12:30:00,2018-12-10,3555
12:45:00,2018-12-10,48
13:00:00,2018-12-10,3286
13:15:00,2018-12-10,571
13:30:00,2018-12-10,28999
13:45:00,2018-12-10,36701
14:00:00,2018-12-10,31108
14:15:00,2018-12-10,72
14:30:00,2018-12-10,3445
14:45:00,2018-12-10,71
15:00:00,2018-12-10,3300
15:15:00,2018-12-10,61
15:30:00,2018-12-10,3438
15:45:00,2018-12-10,44
16:00:00,2018-12-10,3277
16:15:00,2018-12-10,47
16:30:00,2018-12-10,3551
16:45:00,2018-12-10,44
17:00:00,2018-12-10,3576
17:15:00,2018-12-10,42
17:30:00,2018-12-10,3469
17:45:00,2018-12-10,46
18:00:00,2018-12-10,3317
18:15:00,2018-12-10,56
18:30:00,2018-12-10,3319
18:45:00,2018-12-10,41
19:00:00,2018-12-10,3298
19:15:00,2018-12-10,73
19:30:00,2018-12-10,3308
19:45:00,2018-12-10,42
20:00:00,2018-12-10,3324
20:15:00,2018-12-10,41
20:30:00,2018-12-10,3317
20:45:00,2018-12-10,57
21:00:00,2018-12-10,3307
21:15:00,2018-12-10,46
21:30:00,2018-12-10,3308
21:45:00,2018-12-10,41
22:00:00,2018-12-10,3308
22:15:00,2018-12-10,42
22:30:00,2018-12-10,3310
22:45:00,2018-12-10,56
23:00:00,2018-12-10,3318
23:15:00,2018-12-10,45
23:30:00,2018-12-10,3305
23:45:00,2018-12-10,43
