Time,Date,Total
00:00:00,2019-02-17,62325
00:15:00,2019-02-17,65409
00:30:00,2019-02-17,67153
00:45:00,2019-02-17,66914
01:00:00,2019-02-17,71593
01:15:00,2019-02-17,72358
01:30:00,2019-02-17,71314
01:45:00,2019-02-17,73314
02:00:00,2019-02-17,72835
02:15:00,2019-02-17,69736
02:30:00,2019-02-17,73001
02:45:00,2019-02-17,74518
03:00:00,2019-02-17,73833
03:15:00,2019-02-17,69972
03:30:00,2019-02-17,73958
03:45:00,2019-02-17,70813
04:00:00,2019-02-17,73538
04:15:00,2019-02-17,69751
04:30:00,2019-02-17,73023
04:45:00,2019-02-17,73487
05:00:00,2019-02-17,72761
05:15:00,2019-02-17,71171
05:30:00,2019-02-17,70858
05:45:00,2019-02-17,74843
06:00:00,2019-02-17,73543
06:15:00,2019-02-17,74726
06:30:00,2019-02-17,68704
06:45:00,2019-02-17,74213
07:00:00,2019-02-17,72084
07:15:00,2019-02-17,71830
07:30:00,2019-02-17,74552
07:45:00,2019-02-17,73050
08:00:00,2019-02-17,73155
08:15:00,2019-02-17,72394
08:30:00,2019-02-17,71663
08:45:00,2019-02-17,64253
09:00:00,2019-02-17,69750
09:15:00,2019-02-17,71499
09:30:00,2019-02-17,71835
09:45:00,2019-02-17,78441
10:00:00,2019-02-17,81137
10:15:00,2019-02-17,76587
10:30:00,2019-02-17,73773
10:45:00,2019-02-17,71877
11:00:00,2019-02-17,71110
11:15:00,2019-02-17,71516
11:30:00,2019-02-17,73326
11:45:00,2019-02-17,73144
12:00:00,2019-02-17,69978
12:15:00,2019-02-17,75862
12:30:00,2019-02-17,71654
12:45:00,2019-02-17,73457
13:00:00,2019-02-17,71612
13:15:00,2019-02-17,66123
13:30:00,2019-02-17,73727
13:45:00,2019-02-17,73792
14:00:00,2019-02-17,74923
14:15:00,2019-02-17,72678
14:30:00,2019-02-17,70813
14:45:00,2019-02-17,74986
15:00:00,2019-02-17,72510
15:15:00,2019-02-17,72787
15:30:00,2019-02-17,70430
15:45:00,2019-02-17,72340
16:00:00,2019-02-17,61994
16:15:00,2019-02-17,4817
16:30:00,2019-02-17,24989
16:45:00,2019-02-17,72029
17:00:00,2019-02-17,70279
17:15:00,2019-02-17,73429
17:30:00,2019-02-17,70099
17:45:00,2019-02-17,72557
18:00:00,2019-02-17,72945
18:15:00,2019-02-17,73394
18:30:00,2019-02-17,70817
18:45:00,2019-02-17,72246
19:00:00,2019-02-17,71064
19:15:00,2019-02-17,73742
19:30:00,2019-02-17,72354
19:45:00,2019-02-17,71275
20:00:00,2019-02-17,73912
20:15:00,2019-02-17,71391
20:30:00,2019-02-17,71842
20:45:00,2019-02-17,70424
21:00:00,2019-02-17,68039
21:15:00,2019-02-17,71974
21:30:00,2019-02-17,73436
21:45:00,2019-02-17,64648
22:00:00,2019-02-17,70965
22:15:00,2019-02-17,69783
22:30:00,2019-02-17,73242
22:45:00,2019-02-17,70266
23:00:00,2019-02-17,73047
23:15:00,2019-02-17,69503
23:30:00,2019-02-17,74541
23:45:00,2019-02-17,67754
