Time,Date,Total
00:00:00,2019-03-17,20722
00:15:00,2019-03-17,19038
00:30:00,2019-03-17,19530
00:45:00,2019-03-17,20647
01:00:00,2019-03-17,21078
01:15:00,2019-03-17,20950
01:30:00,2019-03-17,21093
01:45:00,2019-03-17,19391
02:00:00,2019-03-17,22457
02:15:00,2019-03-17,21140
02:30:00,2019-03-17,20878
02:45:00,2019-03-17,21025
03:00:00,2019-03-17,20948
03:15:00,2019-03-17,17559
03:30:00,2019-03-17,20949
03:45:00,2019-03-17,20931
04:00:00,2019-03-17,20938
04:15:00,2019-03-17,20821
04:30:00,2019-03-17,17527
04:45:00,2019-03-17,20914
05:00:00,2019-03-17,20932
05:15:00,2019-03-17,20924
05:30:00,2019-03-17,19294
05:45:00,2019-03-17,20832
06:00:00,2019-03-17,19357
06:15:00,2019-03-17,20941
06:30:00,2019-03-17,21010
06:45:00,2019-03-17,18915
07:00:00,2019-03-17,20900
07:15:00,2019-03-17,20728
07:30:00,2019-03-17,19388
07:45:00,2019-03-17,19224
08:00:00,2019-03-17,24035
08:15:00,2019-03-17,20939
08:30:00,2019-03-17,20900
08:45:00,2019-03-17,19346
09:00:00,2019-03-17,19099
09:15:00,2019-03-17,20905
09:30:00,2019-03-17,20955
09:45:00,2019-03-17,21014
10:00:00,2019-03-17,38549
10:15:00,2019-03-17,21161
10:30:00,2019-03-17,21285
10:45:00,2019-03-17,21176
11:00:00,2019-03-17,21109
11:15:00,2019-03-17,19021
11:30:00,2019-03-17,21065
11:45:00,2019-03-17,19363
12:00:00,2019-03-17,21209
12:15:00,2019-03-17,20948
12:30:00,2019-03-17,19650
12:45:00,2019-03-17,20554
13:00:00,2019-03-17,19384
13:15:00,2019-03-17,20923
13:30:00,2019-03-17,20949
13:45:00,2019-03-17,19222
14:00:00,2019-03-17,24146
14:15:00,2019-03-17,21033
14:30:00,2019-03-17,19389
14:45:00,2019-03-17,20938
15:00:00,2019-03-17,19061
15:15:00,2019-03-17,20940
15:30:00,2019-03-17,20962
15:45:00,2019-03-17,20921
16:00:00,2019-03-17,19473
16:15:00,2019-03-17,19037
16:30:00,2019-03-17,20962
16:45:00,2019-03-17,20932
17:00:00,2019-03-17,20542
17:15:00,2019-03-17,17462
17:30:00,2019-03-17,20962
17:45:00,2019-03-17,21066
18:00:00,2019-03-17,20565
18:15:00,2019-03-17,20938
18:30:00,2019-03-17,19044
18:45:00,2019-03-17,19363
19:00:00,2019-03-17,20984
19:15:00,2019-03-17,20938
19:30:00,2019-03-17,19044
19:45:00,2019-03-17,20921
20:00:00,2019-03-17,24237
20:15:00,2019-03-17,19458
20:30:00,2019-03-17,20966
20:45:00,2019-03-17,19022
21:00:00,2019-03-17,20936
21:15:00,2019-03-17,20754
21:30:00,2019-03-17,19388
21:45:00,2019-03-17,20419
22:00:00,2019-03-17,19569
22:15:00,2019-03-17,21570
22:30:00,2019-03-17,22121
22:45:00,2019-03-17,20370
23:00:00,2019-03-17,19933
23:15:00,2019-03-17,22095
23:30:00,2019-03-17,22121
23:45:00,2019-03-17,20071
