Time,Date,Total
00:00:00,2018-11-04,5821
00:15:00,2018-11-04,90
00:30:00,2018-11-04,3335
00:45:00,2018-11-04,68
01:00:00,2018-11-04,3364
01:15:00,2018-11-04,65
01:30:00,2018-11-04,3332
01:45:00,2018-11-04,70
02:00:00,2018-11-04,3334
02:15:00,2018-11-04,58
02:30:00,2018-11-04,3333
02:45:00,2018-11-04,62
03:00:00,2018-11-04,3323
03:15:00,2018-11-04,58
03:30:00,2018-11-04,3361
03:45:00,2018-11-04,58
04:00:00,2018-11-04,3334
04:15:00,2018-11-04,59
04:30:00,2018-11-04,3333
04:45:00,2018-11-04,58
05:00:00,2018-11-04,3361
05:15:00,2018-11-04,58
05:30:00,2018-11-04,3333
05:45:00,2018-11-04,58
06:00:00,2018-11-04,3332
06:15:00,2018-11-04,58
06:30:00,2018-11-04,3362
06:45:00,2018-11-04,59
07:00:00,2018-11-04,3333
07:15:00,2018-11-04,58
07:30:00,2018-11-04,3333
07:45:00,2018-11-04,87
08:00:00,2018-11-04,3334
08:15:00,2018-11-04,58
08:30:00,2018-11-04,3332
08:45:00,2018-11-04,58
09:00:00,2018-11-04,3326
09:15:00,2018-11-04,64
09:30:00,2018-11-04,3347
09:45:00,2018-11-04,58
10:00:00,2018-11-04,3351
10:15:00,2018-11-04,89
10:30:00,2018-11-04,3344
10:45:00,2018-11-04,58
11:00:00,2018-11-04,3342
11:15:00,2018-11-04,58
11:30:00,2018-11-04,3341
11:45:00,2018-11-04,88
12:00:00,2018-11-04,5237
12:15:00,2018-11-04,1839
12:30:00,2018-11-04,3333
12:45:00,2018-11-04,58
13:00:00,2018-11-04,3342
13:15:00,2018-11-04,58
13:30:00,2018-11-04,3461
13:45:00,2018-11-04,79
14:00:00,2018-11-04,3335
14:15:00,2018-11-04,62
14:30:00,2018-11-04,3344
14:45:00,2018-11-04,58
15:00:00,2018-11-04,3334
15:15:00,2018-11-04,64
15:30:00,2018-11-04,3324
15:45:00,2018-11-04,61
16:00:00,2018-11-04,3354
16:15:00,2018-11-04,62
16:30:00,2018-11-04,3343
16:45:00,2018-11-04,58
17:00:00,2018-11-04,3342
17:15:00,2018-11-04,58
17:30:00,2018-11-04,3341
17:45:00,2018-11-04,108
18:00:00,2018-11-04,3341
18:15:00,2018-11-04,67
18:30:00,2018-11-04,3351
18:45:00,2018-11-04,59
19:00:00,2018-11-04,3333
19:15:00,2018-11-04,58
19:30:00,2018-11-04,3341
19:45:00,2018-11-04,58
20:00:00,2018-11-04,3332
20:15:00,2018-11-04,180
20:30:00,2018-11-04,3362
20:45:00,2018-11-04,59
21:00:00,2018-11-04,3338
21:15:00,2018-11-04,58
21:30:00,2018-11-04,3341
21:45:00,2018-11-04,63
22:00:00,2018-11-04,3344
22:15:00,2018-11-04,59
22:30:00,2018-11-04,3337
22:45:00,2018-11-04,83
23:00:00,2018-11-04,3341
23:15:00,2018-11-04,58
23:30:00,2018-11-04,3342
23:45:00,2018-11-04,46
