Time,Date,Total
00:00:00,2019-02-28,4831
00:15:00,2019-02-28,4741
00:30:00,2019-02-28,4698
00:45:00,2019-02-28,4789
01:00:00,2019-02-28,4702
01:15:00,2019-02-28,4720
01:30:00,2019-02-28,4740
01:45:00,2019-02-28,4745
02:00:00,2019-02-28,4814
02:15:00,2019-02-28,4728
02:30:00,2019-02-28,4748
02:45:00,2019-02-28,4815
03:00:00,2019-02-28,4878
03:15:00,2019-02-28,4766
03:30:00,2019-02-28,4782
03:45:00,2019-02-28,4729
04:00:00,2019-02-28,4792
04:15:00,2019-02-28,4808
04:30:00,2019-02-28,4801
04:45:00,2019-02-28,4799
05:00:00,2019-02-28,4877
05:15:00,2019-02-28,4703
05:30:00,2019-02-28,4818
05:45:00,2019-02-28,4794
06:00:00,2019-02-28,4814
06:15:00,2019-02-28,5034
06:30:00,2019-02-28,5063
06:45:00,2019-02-28,4994
07:00:00,2019-02-28,5672
07:15:00,2019-02-28,6120
07:30:00,2019-02-28,7493
07:45:00,2019-02-28,9059
08:00:00,2019-02-28,9175
08:15:00,2019-02-28,8192
08:30:00,2019-02-28,9648
08:45:00,2019-02-28,8011
09:00:00,2019-02-28,8042
09:15:00,2019-02-28,7502
09:30:00,2019-02-28,8179
09:45:00,2019-02-28,7324
10:00:00,2019-02-28,8858
10:15:00,2019-02-28,8332
10:30:00,2019-02-28,8180
10:45:00,2019-02-28,7779
11:00:00,2019-02-28,7206
11:15:00,2019-02-28,7472
11:30:00,2019-02-28,6936
11:45:00,2019-02-28,7903
12:00:00,2019-02-28,7456
12:15:00,2019-02-28,7654
12:30:00,2019-02-28,8632
12:45:00,2019-02-28,8224
13:00:00,2019-02-28,8326
13:15:00,2019-02-28,7034
13:30:00,2019-02-28,7904
13:45:00,2019-02-28,8350
14:00:00,2019-02-28,7825
14:15:00,2019-02-28,7735
14:30:00,2019-02-28,7890
14:45:00,2019-02-28,8619
15:00:00,2019-02-28,7498
15:15:00,2019-02-28,8367
15:30:00,2019-02-28,8292
15:45:00,2019-02-28,7748
16:00:00,2019-02-28,7241
16:15:00,2019-02-28,8659
16:30:00,2019-02-28,6709
16:45:00,2019-02-28,6032
17:00:00,2019-02-28,5898
17:15:00,2019-02-28,5750
17:30:00,2019-02-28,5696
17:45:00,2019-02-28,5212
18:00:00,2019-02-28,5401
18:15:00,2019-02-28,5541
18:30:00,2019-02-28,5556
18:45:00,2019-02-28,5117
19:00:00,2019-02-28,5313
19:15:00,2019-02-28,5298
19:30:00,2019-02-28,5486
19:45:00,2019-02-28,5226
20:00:00,2019-02-28,6352
20:15:00,2019-02-28,5574
20:30:00,2019-02-28,5533
20:45:00,2019-02-28,5283
21:00:00,2019-02-28,5223
21:15:00,2019-02-28,5259
21:30:00,2019-02-28,5118
21:45:00,2019-02-28,5206
22:00:00,2019-02-28,5112
22:15:00,2019-02-28,5111
22:30:00,2019-02-28,5210
22:45:00,2019-02-28,5117
23:00:00,2019-02-28,5168
23:15:00,2019-02-28,5118
23:30:00,2019-02-28,5109
23:45:00,2019-02-28,5146
