Time,Date,Total
00:00:00,2018-11-10,38
00:15:00,2018-11-10,47
00:30:00,2018-11-10,54
00:45:00,2018-11-10,46
01:00:00,2018-11-10,37
01:15:00,2018-11-10,49
01:30:00,2018-11-10,44
01:45:00,2018-11-10,51
02:00:00,2018-11-10,38
02:15:00,2018-11-10,57
02:30:00,2018-11-10,41
02:45:00,2018-11-10,39
03:00:00,2018-11-10,57
03:15:00,2018-11-10,56
03:30:00,2018-11-10,62
03:45:00,2018-11-10,46
04:00:00,2018-11-10,57
04:15:00,2018-11-10,53
04:30:00,2018-11-10,43
04:45:00,2018-11-10,39
05:00:00,2018-11-10,50
05:15:00,2018-11-10,54
05:30:00,2018-11-10,39
05:45:00,2018-11-10,39
06:00:00,2018-11-10,38
06:15:00,2018-11-10,43
06:30:00,2018-11-10,49
06:45:00,2018-11-10,41
07:00:00,2018-11-10,36
07:15:00,2018-11-10,55
07:30:00,2018-11-10,59
07:45:00,2018-11-10,94
08:00:00,2018-11-10,47
08:15:00,2018-11-10,37
08:30:00,2018-11-10,21
08:45:00,2018-11-10,39
09:00:00,2018-11-10,28
09:15:00,2018-11-10,27
09:30:00,2018-11-10,26
09:45:00,2018-11-10,19
10:00:00,2018-11-10,23
10:15:00,2018-11-10,35
10:30:00,2018-11-10,25
10:45:00,2018-11-10,25
11:00:00,2018-11-10,30
11:15:00,2018-11-10,32
11:30:00,2018-11-10,26
11:45:00,2018-11-10,40
12:00:00,2018-11-10,21
12:15:00,2018-11-10,37
12:30:00,2018-11-10,26
12:45:00,2018-11-10,16
13:00:00,2018-11-10,33
13:15:00,2018-11-10,27
13:30:00,2018-11-10,14
13:45:00,2018-11-10,10
14:00:00,2018-11-10,20
14:15:00,2018-11-10,26
14:30:00,2018-11-10,22
14:45:00,2018-11-10,14
15:00:00,2018-11-10,38
15:15:00,2018-11-10,19
15:30:00,2018-11-10,24
15:45:00,2018-11-10,22
16:00:00,2018-11-10,18
16:15:00,2018-11-10,25
16:30:00,2018-11-10,21
16:45:00,2018-11-10,20
17:00:00,2018-11-10,22
17:15:00,2018-11-10,22
17:30:00,2018-11-10,26
17:45:00,2018-11-10,15
18:00:00,2018-11-10,26
18:15:00,2018-11-10,19
18:30:00,2018-11-10,30
18:45:00,2018-11-10,29
19:00:00,2018-11-10,20
19:15:00,2018-11-10,20
19:30:00,2018-11-10,25
19:45:00,2018-11-10,24
20:00:00,2018-11-10,38
20:15:00,2018-11-10,22
20:30:00,2018-11-10,17
20:45:00,2018-11-10,14
21:00:00,2018-11-10,23
21:15:00,2018-11-10,33
21:30:00,2018-11-10,15
21:45:00,2018-11-10,18
22:00:00,2018-11-10,16
22:15:00,2018-11-10,31
22:30:00,2018-11-10,31
22:45:00,2018-11-10,25
23:00:00,2018-11-10,23
23:15:00,2018-11-10,28
23:30:00,2018-11-10,17
23:45:00,2018-11-10,22
